"Top Level Domain","U-Label","Translation","Agreement Type","Operator","Agreement Status","Agreement Date","Link"
"jaguar",,,"Base, Brand (Spec 13), Non-Sponsored","Jaguar Land Rover Ltd","active","13 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/jaguar"
"java",,,"Base, Brand (Spec 13), Non-Sponsored","Oracle Corporation","active","19 Jun 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/java"
"jcb",,,"Base, Brand (Spec 13), Non-Sponsored","JCB Co., Ltd.","active","20 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/jcb"
"jcp",,,"Base, Brand (Spec 13), Non-Sponsored","JCP Media, Inc.","terminated","23 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/jcp"
"jeep",,,"Base, Brand (Spec 13), Non-Sponsored","FCA US LLC.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/jeep"
"jetzt",,,"Base, Non-Sponsored","Binky Moon, LLC","active","9 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/jetzt"
"jewelry",,,"Base, Non-Sponsored","Binky Moon, LLC","active","5 Mar 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/jewelry"
"jio",,,"Base, Brand (Spec 13), Non-Sponsored","Reliance Industries Limited","active","2 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/jio"
"jlc",,,"Base, Brand (Spec 13), Non-Sponsored","Richemont DNS Inc.","terminated","4 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/jlc"
"jll",,,"Base, Brand (Spec 13), Non-Sponsored","Jones Lang LaSalle Incorporated","active","2 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/jll"
"jmp",,,"Base, Brand (Spec 13), Non-Sponsored","Matrix IP LLC","active","26 Mar 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/jmp"
"jnj",,,"Base, Brand (Spec 13), Non-Sponsored","Johnson & Johnson Services, Inc.","active","18 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/jnj"
"jobs",,,"Base, Community (Spec 12), Sponsored","Employ Media LLC","active","20 Feb 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/jobs"
"joburg",,,"Base, Non-Sponsored","ZA Central Registry NPC trading as ZA Central Registry","active","24 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/joburg"
"jot",,,"Base, Non-Sponsored","Amazon Registry Services, Inc.","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/jot"
"joy",,,"Base, Non-Sponsored","Amazon Registry Services, Inc.","active","18 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/joy"
"jpmorgan",,,"Base, Brand (Spec 13), Non-Sponsored","JPMorgan Chase Bank, National Association","active","30 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/jpmorgan"
"jprs",,,"Base, Non-Sponsored","Japan Registry Services Co., Ltd.","active","18 Sep 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/jprs"
"juegos",,,"Base, Non-Sponsored","Dog Beach, LLC","active","20 Mar 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/juegos"
"juniper",,,"Base, Brand (Spec 13), Non-Sponsored","JUNIPER NETWORKS, INC.","active","30 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/juniper"
"kaufen",,,"Base, Non-Sponsored","Dog Beach, LLC","active","7 Nov 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/kaufen"
"kddi",,,"Base, Brand (Spec 13), Non-Sponsored","KDDI CORPORATION","active","12 Sep 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/kddi"
"kerryhotels",,,"Base, Non-Sponsored","Kerry Trading Co. Limited","active","30 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/kerryhotels"
"kerrylogistics",,,"Base, Non-Sponsored","Kerry Trading Co. Limited","terminated","9 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/kerrylogistics"
"kerryproperties",,,"Base, Non-Sponsored","Kerry Trading Co. Limited","active","9 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/kerryproperties"
"kfh",,,"Base, Non-Sponsored","Kuwait Finance House","active","4 Dec 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/kfh"
"kia",,,"Base, Brand (Spec 13), Non-Sponsored","KIA MOTORS CORPORATION","active","9 Jul 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/kia"
"kids",,,"Base, Community (Spec 12), Non-Sponsored","DotKids Foundation Limited","active","13 Aug 2021","http://iti-web-icann-lax-prod/en/registry-agreements/details/kids"
"kim",,,"Base, Non-Sponsored","Identity Digital Domains Limited","active","23 Sep 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/kim"
"kinder",,,"Base, Brand (Spec 13), Non-Sponsored","Ferrero Trading Lux S.A.","terminated","7 Nov 2014","http://iti-web-icann-lax-prod/en/registry-agreements/terminated/kinder"
"kindle",,,"Base, Brand (Spec 13), Non-Sponsored","Amazon Registry Services, Inc.","active","25 Jun 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/kindle"
"kitchen",,,"Base, Non-Sponsored","Binky Moon, LLC","active","20 Sep 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/kitchen"
"kiwi",,,"Base, Non-Sponsored","DOT KIWI LIMITED","active","20 Sep 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/kiwi"
"koeln",,,"Base, Non-Sponsored","dotKoeln GmbH","active","9 Jan 2014","http://iti-web-icann-lax-prod/en/registry-agreements/details/koeln"
"komatsu",,,"Base, Brand (Spec 13), Non-Sponsored","Komatsu Ltd.","active","8 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/komatsu"
"kosher",,,"Base, Non-Sponsored","Kosher Marketing Assets LLC","active","20 Aug 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/kosher"
"kpmg",,,"Base, Brand (Spec 13), Non-Sponsored","KPMG International Cooperative (KPMG International Genossenschaft)","active","23 Apr 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/kpmg"
"kpn",,,"Base, Brand (Spec 13), Non-Sponsored","Koninklijke KPN N.V.","active","8 Jan 2015","http://iti-web-icann-lax-prod/en/registry-agreements/details/kpn"
"krd",,,"Base, Non-Sponsored","KRG Department of Information Technology","active","5 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/krd"
"kred",,,"Base, Non-Sponsored","KredTLD Pty Ltd","active","19 Dec 2013","http://iti-web-icann-lax-prod/en/registry-agreements/details/kred"
